seqs,solution,target,target_index
"[4, 162, 22]","[0, 0, 1]",[24],0
"[1, 73, 7, 35, 1, 1573, 64, 115, 1303, 3, 4, 10, 234, 2052, 13, 11, 3, 25, 138, 367, 80, 18, 26, 285, 103, 13, 15, 2]","[1, 0, 0]",[11],1
"[1, 11, 7, 77, 213, 168, 3, 56, 35, 413, 149, 14, 384, 54, 69, 704, 3, 4, 10, 68, 30, 107, 1304, 6, 270, 55, 588, 2]","[1, 0, 0]",[11],1
"[10, 399, 131, 18, 26, 22, 22, 22]","[0, 0, 1]",[9],2
"[6, 41, 27, 253, 35, 96, 8, 56, 384, 556, 670, 20, 5, 23, 20, 11, 16, 6, 400, 74, 2]","[0, 0, 1]",[21],3
"[18, 26, 12, 30, 50, 27, 22]","[1, 0, 0]",[9],2
"[1, 5, 7, 20, 2]","[0, 0, 1]",[5],4
"[165, 385, 22, 22, 22, 22, 22]","[0, 0, 1]",[9],2
"[1, 5, 12, 91, 29, 3, 10, 42, 1, 1574, 296, 4, 15, 12, 58, 14, 1, 57, 129, 2]","[0, 0, 1]",[5],4
"[3006, 1, 11, 12, 29, 8, 65, 807, 23, 1, 887, 2]","[0, 0, 1]",[11],1
"[19, 42, 6, 459, 368, 3007, 36, 136, 56, 30, 705, 3008, 4, 36, 1305, 1, 1306, 3009, 3010, 1, 460, 87, 2]","[0, 0, 1]",[11],1
"[10, 75, 51, 276, 32, 888, 996, 13, 133, 1123, 218, 4, 31, 277, 177, 8, 40, 1, 115, 65, 14, 1, 157, 1575, 34, 18, 532, 14, 157, 110, 2]","[0, 0, 1]",[9],2
"[1307, 3, 1, 5, 7, 29, 3, 1, 24, 7, 297, 4, 36, 31, 6, 278, 81, 204, 2]","[0, 0, 1]",[24],0
"[441, 124, 66, 6, 1124, 14, 3011, 514, 3012, 258, 141, 3013, 3, 4, 17, 63, 1576, 14, 753, 1577, 1125, 3, 1308, 706, 3, 4, 236, 4, 298, 461, 2]","[0, 1, 0]",[5],4
"[1, 296, 13, 1, 2053, 12, 1126, 237, 4, 514, 2]","[1, 0, 0]",[5],4
"[19, 118, 8, 18, 41, 1127, 34, 1578, 1579, 1580, 2]","[0, 1, 0]",[9],2
"[1, 1128, 401, 4, 707, 28, 65, 3, 149, 347, 1309, 100, 279, 299, 2054, 208, 173, 116, 589, 2]","[0, 0, 1]",[5],4
"[708, 708, 7, 58, 14, 1, 997, 590, 13, 98, 8, 48, 16, 632, 2]","[0, 0, 1]",[9],2
"[1, 462, 4, 21, 7, 325, 25, 1, 5, 7, 88, 285, 103, 13, 15, 2]","[0, 0, 1]",[5],4
"[69, 249, 122, 889, 40, 104, 515, 1581, 43, 633, 44, 2]","[1, 0, 0]",[9],2
"[150, 109, 3, 219, 69, 270, 8, 1, 334, 1582, 1310, 3, 489, 58, 14, 1, 1583, 17, 243, 316, 16, 261, 2]","[0, 0, 1]",[21],3
